NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
4,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,CELLINO ATTANASIO,1283,1307,2590
5,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,CERMIGNANO,873,914,1787
6,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,PENNA SANT'ANDREA,842,886,1728
1,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,ACCETTURA,982,998,1980
2,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,ALIANO,520,562,1082
3,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,CIRIGLIANO,159,202,361
4,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,CRACO,381,385,766
5,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,GORGOGLIONE,531,522,1053
6,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,SAN MAURO FORTE,842,868,1710
7,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,STIGLIANO,2203,2482,4685
1,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,ACERENZA,1245,1308,2553
2,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,BANZI,702,704,1406
3,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,CANCELLARA,701,695,1396
4,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,FORENZA,1123,1086,2209
5,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,GENZANO DI LUCANIA,2894,3021,5915
6,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,PALAZZO SAN GERVASIO,2480,2547,5027
7,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,SAN CHIRICO NUOVO,739,736,1475
8,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,TOLVE,1697,1664,3361
1,4170646040,BASILICATA,POTENZA,UNIONE DEI COMUNI MEDIO AGRI,3-Gen-2017,4,MISSANELLO,254,294,548
2,4170646040,BASILICATA,POTENZA,UNIONE DEI COMUNI MEDIO AGRI,3-Gen-2017,4,ROCCANOVA,793,851,1644
3,4170646040,BASILICATA,POTENZA,UNIONE DEI COMUNI MEDIO AGRI,3-Gen-2017,4,SAN CHIRICO RAPARO,559,602,1161
4,4170646040,BASILICATA,POTENZA,UNIONE DEI COMUNI MEDIO AGRI,3-Gen-2017,4,SANT'ARCANGELO,3220,3286,6506
1,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,ABRIOLA,756,815,1571
2,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,ALBANO DI LUCANIA,750,724,1474
3,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,ANZI,850,915,1765
4,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,BRINDISI MONTAGNA,476,449,925
5,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,CALVELLO,923,1030,1953
6,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,LAURENZANA,934,1010,1944
7,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,TRIVIGNO,344,370,714
1,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,CASTELLUCCIO INFERIORE,1046,1133,2179
2,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,CASTELLUCCIO SUPERIORE,410,450,860
3,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,LAGONEGRO,2741,2984,5725
4,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,LATRONICO,2298,2450,4748
5,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,LAURIA,6474,6788,13262
6,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,MARATEA,2496,2654,5150
7,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,NEMOLI,728,784,1512
8,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,RIVELLO,1372,1471,2843
9,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,TRECCHINA,1110,1212,2322
1,4180226040,CALABRIA,CATANZARO,MONTE CONTESSA,1-Gen-2014,5,CORTALE,1040,1177,2217
